stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding
ll_-6.588769_106.841274,ll_-6.588769_106.841274,-6.588769,106.841274,2
ll_-6.586867_106.843622,ll_-6.586867_106.843622,-6.586867,106.843622,2
ll_-6.585347_106.848445,ll_-6.585347_106.848445,-6.585347,106.848445,2
ll_-6.586791_106.853089,ll_-6.586791_106.853089,-6.586791,106.853089,2
ll_-6.587577_106.852374,ll_-6.587577_106.852374,-6.587577,106.852374,2
ll_-6.590138_106.853956,ll_-6.590138_106.853956,-6.590138,106.853956,2
ll_-6.591304_106.859979,ll_-6.591304_106.859979,-6.591304,106.859979,2
ll_-6.589352_106.865159,ll_-6.589352_106.865159,-6.589352,106.865159,2
ciheuleut-tegallega,ciheuleut-tegallega,-6.5990,106.8126,2
ciheuleut-binamarga,ciheuleut-binamarga,-6.6007,106.8137,2
ciheuleut-pakuanindah,ciheuleut-pakuanindah,-6.6054,106.8130,2
ll_-6.5802_106.7967,ll_-6.5802_106.7967,-6.5802,106.7967,2
ll_-6.5734_106.7964,ll_-6.5734_106.7964,-6.5734,106.7964,2
ll_-6.5699_106.7987,ll_-6.5699_106.7987,-6.5699,106.7987,2
ll_-6.5689_106.8002,ll_-6.5689_106.8002,-6.5689,106.8002,2
ll_-6.5676_106.8012,ll_-6.5676_106.8012,-6.5676,106.8012,2
ll_-6.5663_106.8019,ll_-6.5663_106.8019,-6.5663,106.8019,2
ll_-6.5689_106.8056,ll_-6.5689_106.8056,-6.5689,106.8056,2
ll_-6.5683_106.8071,ll_-6.5683_106.8071,-6.5683,106.8071,2
ll_-6.5687_106.8088,ll_-6.5687_106.8088,-6.5687,106.8088,2
ll_-6.5689_106.8087,ll_-6.5689_106.8087,-6.5689,106.8087,2
ll_-6.5688_106.8082,ll_-6.5688_106.8082,-6.5688,106.8082,2
yani-1,yani-1,-6.5684,106.8073,2
yani-2,yani-2,-6.5692,106.8054,2
yani-3,yani-3,-6.5705,106.8044,2
yani-4,yani-4,-6.5788,106.7981,2
sudirman-airmancur,sudirman-airmancur,-6.5817,106.7968,2
sudirman-pengadilan,sudirman-pengadilan,-6.5919,106.7971,2
pengadilan-gedongsawah,pengadilan-gedongsawah,-6.5912,106.7938,2
gedongsawah-1,gedongsawah-1,-6.5932,106.7939,2
gedongsawah-2,gedongsawah-2,-6.5940,106.7934,2
gedongsawah-3,gedongsawah-3,-6.5943,106.7930,2
gedongsawah-4,gedongsawah-4,-6.5943,106.7927,2
gedongsawah-dewisartika,gedongsawah-dewisartika,-6.5941,106.7920,2
muslihat-dewisartika,muslihat-dewisartika,-6.5963,106.7915,2
01,01,-6.5693,106.8092,2
ll_-6.5864_106.8058,ll_-6.5864_106.8058,-6.5864,106.8058,2
ll_-6.5885_106.8052,ll_-6.5885_106.8052,-6.5885,106.8052,2
ll_-6.5889_106.8059,ll_-6.5889_106.8059,-6.5889,106.8059,2
ll_-6.5922_106.8058,ll_-6.5922_106.8058,-6.5922,106.8058,2
ll_-6.5922_106.8049,ll_-6.5922_106.8049,-6.5922,106.8049,2
pajajaran-sobana,pajajaran-sobana,-6.5808,106.8067,2
sobana-sungai,sobana-sungai,-6.5811,106.8110,2
sobana-palapuhraya,sobana-palapuhraya,-6.5816,106.8132,2
ciparigi-1,ciparigi-1,-6.5784,106.8112,2
ciparigi-2,ciparigi-2,-6.5770,106.8109,2
ciparigi-3,ciparigi-3,-6.5699,106.8125,2
pajajaran-jambudua,pajajaran-jambudua,-6.5689,106.8091,2
lodaya-1,lodaya-1,-6.5889,106.8059,2
lodaya-2,lodaya-2,-6.5921,106.8057,2
pajajaran-tunjungbiru,pajajaran-tunjungbiru,-6.6125,106.8130,2
sukasari-1,sukasari-1,-6.6210,106.8164,2
sukasari-2`,sukasari-2`,-6.6212,106.8162,2
siliwangi-lawanggintung,siliwangi-lawanggintung,-6.6201,106.8145,2
lippo-w,lippo-w,-6.6211,106.8159,2
lippo-n,lippo-n,-6.6210,106.8163,2
lippo-e,lippo-e,-6.6212,106.8164,2
lippo-s,lippo-s,-6.6214,106.8162,2
pajajaran-pjjindah,pajajaran-pjjindah,-6.6125,106.8130,2
pajajaran-ggmesjid,pajajaran-ggmesjid,-6.6175,106.8150,2
otista-roda,otista-roda,-6.6027,106.7999,2
roda-1,roda-1,-6.6044,106.8002,2
