shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
AK-03,-6.6045,106.8071,58
AK-03,-6.6066,106.8087,59
AK-03,-6.6078,106.8099,60
AK-03,-6.6087,106.8105,61
AK-03,-6.6078,106.8099,62
AK-03,-6.6066,106.8087,63
AK-03,-6.6069,106.8080,64
AK-03,-6.6065,106.8074,65
AK-03,-6.6066,106.8067,66
AK-03,-6.6052,106.8058,67
AK-03,-6.6052,106.8051,68
AK-03,-6.601646,106.804329,69
AK-03,-6.6027,106.7999,70
AK-03,-6.6027,106.7996,71
AK-03,-6.6031,106.7988,72
AK-03,-6.603941,106.797256,73
AK-03,-6.6042,106.7967,74
AK-03,-6.6038,106.7961,75
AK-04,-6.611545,106.802443,0
AK-04,-6.611507,106.802825,1
AK-04,-6.610316,106.803897,2
AK-04,-6.608503,106.801231,3
AK-04,-6.608035,106.801313,4
AK-04,-6.608060,106.800503,5
AK-04,-6.606850,106.798991,6
AK-04,-6.603941,106.797256,7
AK-04,-6.6042,106.7967,8
AK-04,-6.6046,106.7965,9
AK-04,-6.6060,106.7954,10
AK-04,-6.6077,106.7949,11
AK-04,-6.6082,106.7964,12
AK-04,-6.6113,106.8000,13
AK-04,-6.611869,106.800971,14
AK-04,-6.6123,106.8021,15
AK-04,-6.6142,106.8034,16
AK-04,-6.6163,106.8045,17
AK-04,-6.6188,106.8069,18
AK-04,-6.6215,106.8079,19
AK-04,-6.6218,106.8086,20
AK-04,-6.6245,106.8089,21
AK-04,-6.6248,106.8091,22
AK-04,-6.6251,106.8091,23
AK-04,-6.6254,106.8099,24
AK-04,-6.6259,106.8101,25
AK-04,-6.6258,106.8095,26
AK-04,-6.6260,106.8093,27
AK-04,-6.6264,106.8097,28
AK-04,-6.6277,106.8102,29
AK-04,-6.629086,106.809948,30
AK-04,-6.630150,106.810484,31
AK-04,-6.632298,106.812430,32
AK-04,-6.636592,106.813447,33
AK-04,-6.636619,106.813483,34
AK-04,-6.638457,106.814861,35
AK-04,-6.638824,106.815486,36
AK-04,-6.639826,106.815473,37
AK-04,-6.639889,106.816698,38
AK-04,-6.644787,106.819601,39
AK-04,-6.650617,106.826848,40
AK-04,-6.650769,106.828787,41
