route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
AK-02,FULL,AK-02-20-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-20-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-20-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-20-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-20-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-20-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-21-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-21-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-21-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-21-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-21-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-21-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-22-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-22-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-22-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-22-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-22-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-22-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-23-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-23-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-23-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-23-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-23-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-23-50,AK-02,,,,AK-02,2,2

AK-03,FULL,AK-03-0-0,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-0-10,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-0-20,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-0-30,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-0-40,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-0-50,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-1-0,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-1-10,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-1-20,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-1-30,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-1-40,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-1-50,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-2-0,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-2-10,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-2-20,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-2-30,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-2-40,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-2-50,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-3-0,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-3-10,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-3-20,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-3-30,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-3-40,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-3-50,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-4-0,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-4-10,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-4-20,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-4-30,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-4-40,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-4-50,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-5-0,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-5-10,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-5-20,AK-03,,,,AK-03,2,2
