stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
raya-cipaku-5,,raya-cipaku-5,,-6.636619,106.813483,,,,,,2
raya-cipaku-dekeng,,raya-cipaku-dekeng,,-6.638457,106.814861,,,,,,2
dekeng-1,,dekeng-1,,-6.638824,106.815486,,,,,,2
dekeng-2,,dekeng-2,,-6.639826,106.815473,,,,,,2
dekeng-3,,dekeng-3,,-6.639889,106.816698,,,,,,2
dekeng-4,,dekeng-4,,-6.644787,106.819601,,,,,,2
dekeng-5,,dekeng-5,,-6.650617,106.826848,,,,,,2
dekeng-6,,dekeng-6,,-6.650769,106.828787,,,,,,2
dekeng-7,,dekeng-7,,-6.656712,106.830918,,,,,,2
dekeng-8,,dekeng-8,,-6.656991,106.831402,,,,,,2
dekeng-9,,dekeng-9,,-6.657828,106.831249,,,,,,2
dekeng-10,,dekeng-10,,-6.659982,106.833622,,,,,,2
dekeng-11,,dekeng-11,,-6.660312,106.836582,,,,,,2
dekeng-rancamaya-utama,,dekeng-rancamaya-utama,,-6.661604,106.837348,,,,,,2
line-05-21,,line-05-21,,-6.591304,106.859979,,,,,,2
line-05-20,,line-05-20,,-6.590138,106.853956,,,,,,2
line-05-19,,line-05-19,,-6.587577,106.852374,,,,,,2
line-05-18,,line-05-18,,-6.586791,106.853089,,,,,,2
line-05-17,,line-05-17,,-6.585347,106.848445,,,,,,2
line-05-16,,line-05-16,,-6.586867,106.843622,,,,,,2
line-05-15,,line-05-15,,-6.588769,106.841274,,,,,,2
line-05-14,,line-05-14,,-6.588997,106.836451,,,,,,2
line-05-13,,line-05-13,,-6.589960,106.835584,,,,,,2
line-05-12,,line-05-12,,-6.589333,106.818532,,,,,,2
line-05-11,,line-05-11,,-6.590271,106.818506,,,,,,2
line-05-10,,line-05-10,,-6.590765,106.816886,,,,,,2
line-05-9,,line-05-9,,-6.587305,106.816260,,,,,,2
line-05-8,,line-05-8,,-6.590765,106.816630,,,,,,2
line-05-7,,line-05-7,,-6.590866,106.816018,,,,,,2
line-05-6,,line-05-6,,-6.591487,106.815571,,,,,,2
line-05-5,,line-05-5,,-6.591868,106.814436,,,,,,2
line-05-4,,line-05-4,,-6.591665,106.808631,,,,,,2
line-05-3,,line-05-3,,-6.591259,106.808235,,,,,,2
line-05-2,,line-05-2,,-6.591272,106.805734,,,,,,2
lodaya-M,,lodaya-M,,-6.591276,106.805706,,,,,,2
lodaya-S,,lodaya-S,,-6.592177,106.805701,,,,,,2
line-05-22,,line-05-22,,-6.589352,106.865159,,,,,,2
ciheuleut-tegallega,,ciheuleut-tegallega,,-6.5990,106.8126,,,,,,2
ciheuleut-binamarga,,ciheuleut-binamarga,,-6.6007,106.8137,,,,,,2
padi-jagung,,padi-jagung,,-6.5982,106.8172,,,,,,2
ciheuleut-pakuanindah,,ciheuleut-pakuanindah,,-6.6054,106.8130,,,,,,2
ll_-6.5802_106.7967,,ll_-6.5802_106.7967,,-6.5802,106.7967,,,,,,2
ll_-6.5734_106.7964,,ll_-6.5734_106.7964,,-6.5734,106.7964,,,,,,2
ll_-6.5699_106.7987,,ll_-6.5699_106.7987,,-6.5699,106.7987,,,,,,2
ll_-6.5689_106.8002,,ll_-6.5689_106.8002,,-6.5689,106.8002,,,,,,2
ll_-6.5676_106.8012,,ll_-6.5676_106.8012,,-6.5676,106.8012,,,,,,2
ll_-6.5663_106.8019,,ll_-6.5663_106.8019,,-6.5663,106.8019,,,,,,2
ll_-6.5689_106.8056,,ll_-6.5689_106.8056,,-6.5689,106.8056,,,,,,2
ll_-6.5683_106.8071,,ll_-6.5683_106.8071,,-6.5683,106.8071,,,,,,2
ll_-6.5687_106.8088,,ll_-6.5687_106.8088,,-6.5687,106.8088,,,,,,2
ll_-6.5689_106.8087,,ll_-6.5689_106.8087,,-6.5689,106.8087,,,,,,2
ll_-6.5688_106.8082,,ll_-6.5688_106.8082,,-6.5688,106.8082,,,,,,2
yani-1,,yani-1,,-6.5684,106.8073,,,,,,2
yani-2,,yani-2,,-6.5692,106.8054,,,,,,2
yani-3,,yani-3,,-6.5705,106.8044,,,,,,2
yani-4,,yani-4,,-6.5788,106.7981,,,,,,2
sudirman-airmancur,,sudirman-airmancur,,-6.5817,106.7968,,,,,,2
sudirman-pengadilan,,sudirman-pengadilan,,-6.5919,106.7971,,,,,,2
pengadilan-gedongsawah,,pengadilan-gedongsawah,,-6.5912,106.7938,,,,,,2
gedongsawah-2,,gedongsawah-2,,-6.5940,106.7934,,,,,,2
gedongsawah-3,,gedongsawah-3,,-6.5943,106.7930,,,,,,2
gedongsawah-4,,gedongsawah-4,,-6.5943,106.7927,,,,,,2
gedongsawah-dewisartika,,gedongsawah-dewisartika,,-6.5941,106.7920,,,,,,2
